Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"04/03/2013","49 Glen Aoibhinn, Gorey","","Wexford","€145,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/03/2013","50 Castlepark Square, Castlepark, Maynooth","","Kildare","€242,290.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/03/2013","50 Dromard, Lahinch Road, Ennis","","Clare","€58,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","60 Pinewood Estate, Wexford","","Wexford","€124,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","67 Swanward Court, Parnell Road, Dublin  8","Dublin 8","Dublin","€210,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","7   Roman's Walk, Off John Redmond Street","","Cork","€20,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","77 turret road, palmerstown, dublin 20","","Dublin","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","8 HILLVIEW, CLONASLEE","","Laois","€41,690.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","8 Warrenstown Park, Blanchardstown","","Dublin","€137,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","800 Howth Road, Raheny","","Dublin","€560,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","9 Cherrywood Park, Clondalkin","","Dublin","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","92 Lower Dodder Road, Rathfarnham, Dublin 14","","Dublin","€297,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","Apartment 1  Castlemurray, St. John's Point, Dunkineely","","Donegal","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","Apartment 1, Main Street, Drimoleague","","Cork","€67,200.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","Apartment 2, Main Street, Drimoleague","","Cork","€76,800.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","Apartment 5C Sunnybank Court, Upper Dargle Road, Bray","","Wicklow","€125,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","Ballybeg, Rathnew","","Wicklow","€50,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","Bayview, Frenches Walk, Cobh","","Cork","€705,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","Cleaghmore, Ballinasloe","","Galway","€215,855.47","No","No","Second-Hand Dwelling house /Apartment",""
